FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_20g7_seed1_model_0.cif,0.022178,0.267141
fold_20g7_seed1_model_1.cif,0.023153,0.31368
fold_20g7_seed1_model_2.cif,0.08125,0.34581
fold_20g7_seed1_model_3.cif,0.034228,0.296574
fold_20g7_seed1_model_4.cif,0.020798,0.239613
fold_20g7_seed2_model_0.cif,0.021982,0.289883
fold_20g7_seed2_model_1.cif,0.022101,0.30196
fold_20g7_seed2_model_2.cif,0.027102,0.361363
fold_20g7_seed2_model_3.cif,0.020222,0.387854
fold_20g7_seed2_model_4.cif,0.023936,0.318615
fold_20g7_seed3_model_0.cif,0.035897,0.33678
fold_20g7_seed3_model_1.cif,0.027053,0.33932
fold_20g7_seed3_model_2.cif,0.024438,0.318961
fold_20g7_seed3_model_3.cif,0.022792,0.304919
fold_20g7_seed3_model_4.cif,0.024766,0.311833
fold_20g7_seed4_model_0.cif,0.0276,0.379136
fold_20g7_seed4_model_1.cif,0.037224,0.339811
fold_20g7_seed4_model_2.cif,0.034886,0.338692
fold_20g7_seed4_model_3.cif,0.054534,0.388787
fold_20g7_seed4_model_4.cif,0.025725,0.310094
fold_20g7_seed5_model_0.cif,0.022962,0.305455
fold_20g7_seed5_model_1.cif,0.049444,0.336949
fold_20g7_seed5_model_2.cif,0.019598,0.295085
fold_20g7_seed5_model_3.cif,0.035616,0.330429
fold_20g7_seed5_model_4.cif,0.036119,0.357504
fold_20g7_seed6_model_0.cif,0.02285,0.294951
fold_20g7_seed6_model_1.cif,0.028646,0.342344
fold_20g7_seed6_model_2.cif,0.021081,0.294605
fold_20g7_seed6_model_3.cif,0.029706,0.343174
fold_20g7_seed6_model_4.cif,0.022234,0.283023
fold_20g7_seed7_model_0.cif,0.022129,0.330381
fold_20g7_seed7_model_1.cif,0.028843,0.302376
fold_20g7_seed7_model_2.cif,0.027637,0.314501
fold_20g7_seed7_model_3.cif,0.046083,0.307753
fold_20g7_seed7_model_4.cif,0.020767,0.266017
fold_20g7_seed8_model_0.cif,0.018642,0.281654
fold_20g7_seed8_model_1.cif,0.021868,0.275082
fold_20g7_seed8_model_2.cif,0.022733,0.339182
fold_20g7_seed8_model_3.cif,0.050598,0.348185
fold_20g7_seed8_model_4.cif,0.020697,0.2533
fold_20g7_seed9_model_0.cif,0.14088,0.389239
fold_20g7_seed9_model_1.cif,0.034383,0.292706
fold_20g7_seed9_model_2.cif,0.023782,0.348736
fold_20g7_seed9_model_3.cif,0.047961,0.360669
fold_20g7_seed9_model_4.cif,0.023816,0.301179
fold_20g7_seed10_model_0.cif,0.020709,0.20722
fold_20g7_seed10_model_1.cif,0.052105,0.372771
fold_20g7_seed10_model_2.cif,0.029808,0.393894
fold_20g7_seed10_model_3.cif,0.092397,0.337796
fold_20g7_seed10_model_4.cif,0.023128,0.315752
